epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1242.75,1.25625,1.84287,1.43833,0.72338,0.65902,0.73874,0.41527,1.53546,1.31106,1.47809,0.00999763,0.00333254,0.00999763,0.00333254,0.00999763,0.00333254,0.00999763,0.00333254
2,2311.34,1.26815,1.3296,1.44215,0.77999,0.68794,0.77651,0.4238,1.60177,1.16862,1.52658,0.0190078,0.00633592,0.0190078,0.00633592,0.0190078,0.00633592,0.0190078,0.00633592
3,3140.14,1.31492,1.33735,1.48532,0.75849,0.62306,0.7299,0.40377,1.6154,1.2467,1.57203,0.0270279,0.00900929,0.0270279,0.00900929,0.0270279,0.00900929,0.0270279,0.00900929
4,3618.07,1.30351,1.29887,1.48502,0.80371,0.73094,0.8089,0.4784,1.4839,1.06933,1.45642,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,4084.89,1.22657,1.15645,1.42527,0.8438,0.74683,0.84077,0.51427,1.39737,0.97518,1.38827,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,4541.74,1.18334,1.06849,1.38878,0.8506,0.79169,0.86626,0.54378,1.34895,0.9077,1.36485,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,4998.84,1.14064,0.99833,1.35218,0.86336,0.82579,0.89164,0.57379,1.30789,0.83224,1.31665,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,5463.94,1.1102,0.94988,1.32889,0.86905,0.82702,0.89703,0.59048,1.2664,0.80134,1.28191,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,5918.93,1.09082,0.90565,1.31004,0.89085,0.84191,0.91242,0.59897,1.25788,0.75058,1.26708,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,6387.05,1.05889,0.86115,1.28617,0.90366,0.84129,0.91962,0.61313,1.22583,0.73661,1.25559,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,6841.39,1.0793,0.73488,1.2888,0.90387,0.85741,0.92466,0.62939,1.19572,0.70984,1.23636,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,7301.18,1.03945,0.67349,1.25446,0.90131,0.87193,0.92431,0.64257,1.16476,0.67871,1.20873,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,7770.59,1.00299,0.62894,1.22296,0.91971,0.87539,0.93036,0.65006,1.15584,0.65941,1.1932,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,8243.96,0.97144,0.59315,1.19631,0.92377,0.88407,0.93968,0.65962,1.13841,0.63391,1.18674,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,8682.54,0.94613,0.55481,1.17593,0.9058,0.89833,0.94009,0.66538,1.13207,0.62566,1.17732,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,9178.84,0.91819,0.52483,1.15526,0.92844,0.89461,0.94501,0.67533,1.10726,0.59864,1.16823,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,9652.98,0.89143,0.49737,1.13181,0.93209,0.90453,0.94645,0.68056,1.09498,0.58354,1.15958,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,10111.3,0.86402,0.46859,1.10859,0.93512,0.90329,0.94801,0.68532,1.09582,0.57138,1.15897,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,10556.6,0.83907,0.4471,1.09283,0.93256,0.90515,0.94858,0.69173,1.08021,0.56291,1.1487,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,11030.1,0.81184,0.42807,1.07664,0.93962,0.90681,0.94942,0.69328,1.07508,0.56195,1.14488,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
